#"Time (ps)","Total Energy (kJ/mole)","Temperature (K)"
1.0000000000000007,4323338.087646785,331.53075630645793
1.9999999999998905,4322384.076909553,329.9424886497257
2.9999999999997806,4323270.268994541,336.4880298065186
3.9999999999996705,4323016.434966898,332.65321341855133
5.000000000000004,4322939.283580751,330.86623053661447
6.000000000000338,4323420.361146664,335.3139834864895
7.000000000000672,4322876.848033715,329.945933295729
8.000000000001005,4323230.837929431,338.1024469672539
9.000000000000451,4322789.61338076,326.2140198674691
9.999999999999897,4323564.972010581,340.13060593676977
10.999999999999343,4323337.202709742,337.3130158994671
11.999999999998789,4323276.901860057,335.06039975383425
12.999999999998234,4322576.73212548,326.2155285250731
13.99999999999768,4322981.863700892,337.4484643241987
14.999999999997126,4322888.336501175,333.1538118783615
15.999999999996572,4323073.078213668,333.28393334683926
16.999999999997794,4322726.74693849,332.7397598576725
17.999999999999016,4323410.388487244,332.4493420935548
19.000000000000238,4323745.075655609,337.86407134178245
20.00000000000146,4322842.660597307,333.02452651176515
21.000000000002682,4323381.514386246,334.1534183355859
22.000000000003904,4323507.697243176,335.54059198301326
23.000000000005127,4323222.826801427,334.72911483233344
24.00000000000635,4323657.32048838,335.78990629285727
25.00000000000757,4322576.973913607,329.59179120835614
26.000000000008793,4322843.063974628,328.95133041730304
27.000000000010015,4322732.916755544,329.0701579656985
28.000000000011237,4323130.251387503,331.5328366404482
29.00000000001246,4323113.211649883,330.0966611313384
30.00000000001368,4324066.191981063,337.6114482641271
31.000000000014904,4323723.298122445,341.9833339672527
32.00000000001612,4322721.27306981,329.1572677806984
33.00000000001379,4322702.062003424,332.267323401486
34.00000000001146,4323624.650959959,336.68345844498594
35.00000000000913,4323312.645386988,334.76492510258385
36.0000000000068,4323016.246165363,328.80118456066566
37.00000000000447,4322889.717230829,331.697568327134
38.00000000000214,4322777.612052022,329.7269492879384
38.99999999999981,4322901.080068866,337.37498299059814
39.99999999999748,4323062.12847147,330.49581341785665
40.99999999999515,4322970.615743023,331.5882859951943
41.999999999992816,4322904.001629294,333.19402498911194
42.999999999990486,4323100.050181251,332.38151864943353
43.999999999988155,4322957.354963183,333.99893225861547
44.999999999985825,4323139.076907866,334.1986803505962
45.999999999983494,4322802.899772388,327.32299783021506
46.99999999998116,4322853.859789691,331.91536539318395
